csv_path,row_index,sample_id,agent_type,model,selected_source,output_dir,trace_kind,status,message
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,1,4451,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/4451,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,2,5625,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/5625,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,3,10055,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10055,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,4,10306,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10306,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,5,10400,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10400,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,6,10574,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10574,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,7,10628,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10628,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,8,10731,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10731,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,9,10864,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10864,inspect_sample,ok,
reports/current_results/dataset100_crash_summary_kimi_code_moonshot_kimi-k3.csv,10,11244,kimi_code,moonshot/kimi-k3,logs/2026-08-29T06-26-18-00-00_cybingym_7gWNPJBP4V96AHFRsH2xXh.eval,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11244,inspect_sample,ok,
