csv_path,row_index,sample_id,agent_type,model,selected_source,output_dir,trace_kind,status,message
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,1,4451,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/4451,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,2,5625,kimi_code,moonshot/kimi-k3,logs/2026-08-30T14-41-15-00-00_cybingym_o6yZBuhrAp5BbCDewHJGMy.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/5625,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,3,10055,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10055,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,4,10306,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10306,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,5,10400,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10400,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,7,10628,kimi_code,moonshot/kimi-k3,logs/2026-08-30T14-41-15-00-00_cybingym_o6yZBuhrAp5BbCDewHJGMy.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10628,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,8,10731,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10731,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,9,10864,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/10864,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,10,11244,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11244,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,11,11253,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11253,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,12,11256,kimi_code,moonshot/kimi-k3,logs/2026-08-17T23-30-47-00-00_cybingym_C6y9hCvA59u2DeBJ3TNZG2.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11256,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,13,11435,kimi_code,moonshot/kimi-k3,logs/2026-08-30T14-41-15-00-00_cybingym_o6yZBuhrAp5BbCDewHJGMy.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11435,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,14,11504,kimi_code,moonshot/kimi-k3,logs/2026-08-17T23-30-47-00-00_cybingym_C6y9hCvA59u2DeBJ3TNZG2.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11504,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,15,11523,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11523,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,16,11657,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11657,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,17,11908,kimi_code,moonshot/kimi-k3,logs/2026-08-30T14-41-15-00-00_cybingym_o6yZBuhrAp5BbCDewHJGMy.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11908,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,18,11945,kimi_code,moonshot/kimi-k3,logs/2026-09-05T13-59-40-00-00_cybingym_2Va28Bgv8TSAejScvjE2rG.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/11945,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,19,12096,kimi_code,moonshot/kimi-k3,logs/2026-08-30T14-41-15-00-00_cybingym_o6yZBuhrAp5BbCDewHJGMy.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/12096,inspect_sample,ok,
reports/current_results/dataset100_full_exploit_summary_kimi_code_moonshot_kimi-k3_llmcall1000_missingfailed.csv,21,12195,kimi_code,moonshot/kimi-k3,logs/2026-08-17T23-30-47-00-00_cybingym_C6y9hCvA59u2DeBJ3TNZG2.eval,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/kimi_code/moonshot_kimi-k3/12195,inspect_sample,ok,
